player_name,age,position,matches_played,minutes_played,league,team_rank,contract_years_left,goals,assists,saves,clean_sheets,tackles,interceptions,market_value_million_eur
Player_34,24,FWD,14,2380,Premier League,7,1,31,7,0,0,16,16,33.2
Player_35,33,FWD,,1223,Ligue 1,20,2,28,3,0,0,12,21,27.2
Player_36,32,DEF,3,713,Serie A,6,1,3,2,0,3,52,11,15.5
Player_37,28,GK,34,790,Bundesliga,6,2,0,0,204,27,0,0,30.3
Player_38,18,MID,22,3382,Bundesliga,7,1,5,12,0,0,35,38,19.6
Player_39,24,DEF,27,2701,Ligue 1,17,0,3,2,0,27,57,45,20.5
Player_40,25,DEF,21,251,Ligue 1,8,3,2,5,0,7,,65,16.9
Player_41,27,MID,,2082,Bundesliga,2,3,0,12,0,0,49,68,17.6
Player_42,22,GK,27,2172,Ligue 1,19,0,0,0,162,2,0,0,18.1
Player_43,26,FWD,37,3103,Ligue 1,7,0,32,7,0,0,19,12,33.8
Player_44,18,DEF,2,126,Serie A,12,4,3,2,0,1,,44,13.7
Player_45,19,MID,9,935,Premier League,20,1,10,1,0,0,55,33,15.6
Player_46,31,DEF,,2966,La Liga,3,3,2,5,0,0,108,36,15.8
Player_47,27,MID,36,2760,Bundesliga,4,4,8,9,0,0,76,36,20.8
Player_48,26,MID,10,1290,La Liga,11,5,6,4,0,0,20,60,16.2
Player_49,27,DEF,7,2658,Bundesliga,12,3,3,,0,1,,76,14.5
Player_50,23,FWD,4,194,Bundesliga,19,0,21,13,0,0,25,7,27.2
Player_51,34,MID,15,2293,Premier League,19,4,5,14,0,0,60,35,18
Player_52,23,FWD,12,425,Bundesliga,11,5,5,1,0,0,27,18,14.4
Player_53,21,FWD,6,3187,Bundesliga,13,4,27,4,0,0,26,23,28.4
Player_54,20,MID,9,2047,Premier League,1,4,0,9,0,0,41,29,16.6
Player_55,35,FWD,35,2433,Ligue 1,6,1,31,14,0,0,24,7,36.2
Player_56,21,GK,8,1650,La Liga,16,5,0,0,40,1,0,0,12.3
Player_57,25,DEF,7,975,Bundesliga,2,4,3,4,0,3,,65,17.1
Player_58,34,GK,4,158,Premier League,14,3,0,0,12,1,0,0,11.3
Player_59,22,DEF,13,1440,Bundesliga,18,1,2,4,0,10,90,55,15.4
Player_60,30,DEF,19,240,Premier League,17,3,1,0,0,2,27,29,11
Player_61,18,DEF,7,2994,La Liga,20,5,5,3,0,7,22,17,15.5
Player_62,30,FWD,10,2714,Serie A,18,4,16,,0,0,15,16,24.4
Player_63,21,DEF,25,751,Ligue 1,19,4,5,5,0,22,88,81,21
Player_64,31,DEF,35,1433,Serie A,15,5,2,4,0,2,38,35,13.6
Player_65,20,MID,25,846,Premier League,2,3,7,8,0,0,29,13,20.2
Player_66,22,DEF,29,2589,Bundesliga,4,2,2,2,0,23,26,83,21.3
Player_67,24,FWD,12,2707,Ligue 1,1,4,33,14,0,0,17,4,38.4
Player_68,18,GK,12,3273,La Liga,8,4,0,0,36,1,0,0,13.7
Player_69,29,FWD,6,2772,Ligue 1,20,1,16,2,0,0,12,24,19.6
Player_70,28,MID,10,1575,Bundesliga,14,3,7,4,0,0,14,31,16.2
Player_71,25,DEF,2,2077,Serie A,11,4,4,5,0,1,105,71,15.7
Player_72,23,GK,25,2499,Premier League,14,3,0,0,150,24,0,0,25.1
Player_73,19,FWD,7,292,Serie A,16,1,29,13,0,0,28,10,32.6
Player_74,31,MID,23,2624,Ligue 1,10,,3,11,0,0,50,16,17.4
Player_75,18,MID,11,1593,Bundesliga,7,3,3,3,0,0,22,66,14.8
Player_76,27,MID,36,93,Premier League,16,1,0,7,0,0,12,67,12.8
Player_77,33,GK,,1242,Bundesliga,4,4,0,0,115,23,0,0,25.05
Player_78,21,DEF,7,3187,Bundesliga,12,3,0,2,0,7,109,42,13.7
Player_79,28,GK,27,2938,Ligue 1,12,2,0,0,162,24,0,0,26.1
Player_80,33,FWD,13,1066,Serie A,2,,15,6,0,0,2,13,24.2
Player_81,18,MID,17,116,Bundesliga,6,1,12,5,0,0,24,63,21.2
Player_82,33,DEF,32,1155,Bundesliga,20,0,0,,0,22,69,70,17.8
Player_83,26,GK,26,1054,Bundesliga,15,5,0,0,156,8,,0,20.4
Player_84,26,DEF,22,2201,Premier League,15,,,5,0,11,108,29,16.1
Player_85,26,DEF,13,3186,Bundesliga,16,4,1,1,0,4,25,77,12.2
Player_86,34,MID,12,161,Bundesliga,3,5,14,1,0,0,65,,21.4
Player_87,29,MID,,1595,Ligue 1,1,1,8,7,0,0,,19,20.6
Player_88,30,FWD,1,1986,Bundesliga,12,2,34,12,0,0,2,9,36
Player_89,25,MID,33,3037,Bundesliga,15,4,13,11,0,0,76,40,22.4
Player_90,33,GK,14,2405,Ligue 1,19,5,0,0,56,0,0,0,12.2
Player_91,35,MID,17,2232,Premier League,6,0,7,,0,0,55,35,17.8
Player_92,18,MID,4,484,Serie A,19,4,12,,0,0,57,64,19
Player_93,18,MID,1,958,Ligue 1,17,0,9,3,0,0,45,56,16.4
Player_94,29,MID,24,2501,Premier League,9,,6,8,0,0,32,54,18.2
Player_95,23,MID,34,206,Serie A,13,3,1,1,0,0,64,35,11.6
Player_96,26,MID,34,2301,Bundesliga,15,1,6,11,0,0,64,,18.2
Player_97,22,DEF,24,3014,Ligue 1,16,3,1,3,0,4,24,38,13
Player_98,33,GK,15,2927,Bundesliga,13,0,0,0,45,9,0,0,15.55
Player_99,35,GK,17,666,Ligue 1,2,1,0,0,68,15,0,0,20.7
Player_100,34,GK,13,2443,Serie A,2,1,0,0,52,8,0,0,17.8
Player_101,35,MID,7,861,Premier League,11,1,3,9,0,0,63,65,16.4
Player_102,18,DEF,9,289,Ligue 1,16,2,0,4,0,2,80,55,12.2
Player_103,25,MID,35,1845,Premier League,17,4,2,8,0,0,74,61,14.2
Player_104,20,FWD,23,269,Bundesliga,3,0,30,8,0,0,5,11,33.8
Player_105,22,DEF,23,2495,Bundesliga,1,1,1,3,0,3,105,46,15.7
Player_106,25,DEF,26,2877,Serie A,18,5,5,4,0,23,114,62,21.1
Player_107,35,MID,1,2133,Serie A,14,2,10,3,0,0,60,27,17.6
Player_108,35,DEF,14,1986,La Liga,9,2,1,2,0,4,77,14,14
Player_109,18,GK,32,2567,La Liga,9,5,0,0,192,0,0,0,21
Player_110,32,DEF,10,3165,Serie A,12,0,2,3,0,8,41,75,15.6
Player_111,35,DEF,1,742,Bundesliga,3,3,5,3,0,0,,24,16.8
Player_112,24,FWD,5,767,Premier League,2,2,28,0,0,0,14,2,29.6
Player_113,33,FWD,3,2391,Serie A,1,0,15,14,0,0,18,8,27.6
Player_114,33,MID,27,3078,Premier League,9,2,13,5,0,0,41,33,21.2
Player_115,32,FWD,22,1778,La Liga,13,0,33,7,0,0,2,10,33.2
Player_116,23,FWD,18,1692,Premier League,16,1,20,3,0,0,,8,23.2
Player_117,26,DEF,16,1209,Serie A,19,3,5,,0,9,94,55,16.7
Player_118,24,FWD,2,2304,Bundesliga,10,5,9,12,0,0,28,0,21.4
Player_119,31,MID,13,1054,Serie A,5,2,11,4,0,0,29,63,20.4
Player_120,28,FWD,16,2001,Ligue 1,14,5,28,9,0,0,2,17,30.8
Player_121,33,FWD,8,2991,Ligue 1,15,2,13,10,0,0,20,2,22
Player_122,23,DEF,8,1175,Ligue 1,3,2,2,4,0,2,51,66,16
Player_123,33,GK,,263,Bundesliga,9,4,0,0,50,4,0,,15.1
Player_124,33,DEF,33,1366,Serie A,1,4,0,3,0,7,36,17,16.3
Player_125,29,DEF,31,713,Ligue 1,1,5,2,5,0,27,77,46,24.3
Player_126,34,FWD,12,1328,Serie A,19,1,27,4,0,0,2,13,27.2
Player_127,22,FWD,9,2552,La Liga,6,2,31,11,0,0,17,3,35
Player_128,30,GK,37,828,Ligue 1,11,,0,0,222,19,0,0,27.8
Player_129,25,MID,9,764,Ligue 1,18,4,9,2,0,0,45,53,15.8
Player_130,22,DEF,18,2263,Bundesliga,14,0,1,4,0,5,60,66,14.1
Player_131,29,DEF,,3078,Serie A,16,,2,3,0,22,,23,19
Player_132,26,GK,32,2390,Bundesliga,1,0,0,0,160,4,0,0,22.2
Player_133,20,DEF,23,2063,Bundesliga,10,1,5,1,0,6,99,14,16.4
Player_134,20,FWD,11,2334,Serie A,10,2,14,0,0,0,7,4,19.6
Player_135,18,DEF,20,1747,La Liga,13,2,4,3,0,5,61,82,15.7
Player_136,35,MID,19,502,Serie A,1,5,3,,0,0,41,24,17.2
Player_137,29,MID,36,1569,La Liga,3,4,9,3,0,0,66,17,19.2
Player_138,26,DEF,26,2913,Bundesliga,14,0,2,0,0,12,98,52,15.2
Player_139,26,FWD,,3215,La Liga,16,1,15,4,0,0,15,20,20.6
Player_140,35,FWD,24,1472,La Liga,20,5,33,8,0,0,2,9,32.2
Player_141,35,DEF,13,3312,La Liga,6,3,0,3,0,12,27,58,16.8
Player_142,24,MID,34,1213,Ligue 1,1,2,12,0,0,0,,52,20.2
Player_143,21,DEF,29,323,Ligue 1,20,2,1,5,0,24,65,53,19
Player_144,30,DEF,36,1175,Bundesliga,5,1,5,1,0,20,67,65,21.6
Player_145,34,GK,7,2333,Serie A,8,5,,0,21,3,0,0,13.55
Player_146,19,MID,30,2679,La Liga,12,5,5,13,0,0,55,34,19
Player_147,31,MID,17,1868,Ligue 1,1,4,6,13,0,0,44,44,21.8
Player_148,20,GK,13,1219,Serie A,13,1,0,0,26,8,0,0,14.3
Player_149,22,DEF,24,2432,La Liga,9,5,5,1,0,4,22,57,16
Player_150,31,FWD,31,734,Serie A,20,4,7,7,0,0,21,4,16.2
Player_151,20,DEF,27,1647,Premier League,8,5,1,5,0,5,96,39,15.7
Player_152,24,DEF,21,2293,La Liga,13,2,,2,0,9,49,42,14.1
Player_153,35,MID,1,495,Serie A,2,4,1,7,0,0,61,,16.2
Player_154,30,FWD,15,3033,La Liga,15,5,29,7,0,0,10,,30.4
Player_155,27,DEF,3,2863,La Liga,14,4,2,5,0,2,47,46,14.2
Player_156,30,MID,6,2875,Premier League,19,4,,2,0,0,24,55,13.8
Player_157,33,MID,14,2934,Serie A,9,5,9,,0,0,60,67,18.8
Player_158,26,DEF,33,1796,Bundesliga,19,4,1,2,0,25,92,59,18.3
Player_159,19,MID,8,2691,Ligue 1,14,0,,11,0,0,40,49,15.4
Player_160,22,DEF,26,464,La Liga,8,,1,0,0,9,95,16,14.9
Player_161,34,MID,15,1702,La Liga,5,5,10,1,0,0,,62,18.6
Player_162,21,MID,14,544,La Liga,7,0,1,8,0,0,45,47,15.6
Player_163,34,MID,20,291,La Liga,4,0,0,3,0,0,48,30,13.6
Player_164,26,GK,19,1845,Ligue 1,8,,0,0,57,16,0,0,19.25
Player_165,19,FWD,33,1565,Bundesliga,4,3,25,5,0,0,15,21,29.4
Player_166,35,DEF,36,3348,Premier League,1,5,4,4,0,27,44,76,25.1
Player_167,28,DEF,24,943,Bundesliga,8,4,0,4,0,15,56,52,17.7
Player_168,30,GK,10,813,Ligue 1,7,1,0,0,60,7,0,0,16.9
Player_169,25,MID,34,1481,Serie A,11,5,12,6,0,0,20,63,20.6
Player_170,18,MID,36,2477,Premier League,16,0,,14,0,0,29,10,24
Player_171,34,GK,36,351,Premier League,17,4,0,0,180,0,0,0,18.8
Player_172,29,MID,16,632,Serie A,5,3,10,8,0,0,65,35,21.4
Player_173,21,DEF,15,640,La Liga,7,5,5,1,0,1,104,49,15.5
Player_174,30,MID,18,1419,Ligue 1,10,4,,12,0,0,51,19,19.6
Player_175,26,DEF,7,1959,Serie A,13,2,5,1,0,2,70,41,14.6
Player_176,24,MID,22,727,Bundesliga,20,2,0,10,0,0,56,,13.2
Player_177,22,DEF,32,254,Bundesliga,15,5,2,2,0,27,58,64,20.3
Player_178,22,FWD,19,2895,Serie A,6,1,15,11,0,0,1,,25.4
Player_179,34,DEF,,710,Ligue 1,2,3,2,1,0,0,102,86,14.4
Player_180,26,DEF,35,3249,Premier League,4,1,1,3,0,0,91,85,14.2
Player_181,23,GK,5,1313,Premier League,14,4,0,0,10,4,0,0,12.1
Player_182,33,FWD,12,140,La Liga,15,3,12,8,0,0,0,8,20.6
Player_183,19,FWD,12,578,Ligue 1,14,5,31,3,0,0,7,11,30.2
Player_184,27,DEF,21,2335,Bundesliga,4,1,3,3,0,20,86,18,21.4
Player_185,33,MID,19,1136,Bundesliga,6,4,2,2,0,0,15,11,14
Player_186,22,FWD,9,754,La Liga,7,0,5,5,0,0,11,1,16.8
Player_187,32,MID,36,1336,Bundesliga,13,4,,12,0,0,44,49,21.4
Player_188,30,MID,32,2055,La Liga,17,1,7,2,0,0,17,23,14.8
Player_189,30,DEF,35,1334,La Liga,17,,4,0,0,2,105,18,12.8
Player_190,30,GK,31,2800,Serie A,4,5,0,0,155,17,0,0,25.25
Player_191,32,FWD,32,355,Premier League,19,3,21,2,0,0,18,10,22.8
Player_192,31,FWD,37,162,Ligue 1,20,3,20,1,0,0,17,0,21.6
Player_193,25,MID,,2214,Ligue 1,13,0,0,2,0,0,46,42,11.4
Player_194,28,DEF,37,2681,Premier League,9,1,4,3,0,29,20,73,23.7
Player_195,35,DEF,,970,Ligue 1,2,5,4,,0,18,57,54,20.6
Player_196,21,MID,32,524,Bundesliga,20,5,14,13,0,0,59,66,22.8
Player_197,27,FWD,2,2118,Bundesliga,18,0,20,8,0,0,17,22,24.8
Player_198,18,FWD,11,1178,Ligue 1,20,2,7,4,0,0,20,,15
Player_199,22,MID,20,2074,Serie A,17,5,11,14,0,0,25,48,22
Player_200,30,MID,37,446,Ligue 1,7,4,13,4,0,0,18,10,21.2
Player_201,18,GK,9,1025,La Liga,17,2,,0,45,3,0,0,12.95
Player_202,25,DEF,19,107,La Liga,10,2,5,2,0,0,71,70,15
Player_203,20,FWD,7,2813,Premier League,14,,19,,0,0,21,24,25.8
Player_204,20,MID,5,1679,Bundesliga,12,0,13,9,0,0,69,39,22.2
Player_205,24,GK,24,2712,Serie A,12,4,0,0,48,14,0,0,17.4
Player_206,21,GK,,1882,Ligue 1,17,0,0,,14,5,0,0,12
Player_207,20,MID,11,2888,La Liga,19,0,5,5,0,0,60,46,14.4
Player_208,32,GK,9,1085,Bundesliga,14,0,,0,27,4,0,0,12.95
Player_209,25,DEF,30,1122,Bundesliga,17,5,,3,0,7,,79,13.7
Player_210,20,MID,3,1583,Serie A,15,0,,2,0,0,55,,17.6
Player_211,24,MID,22,2769,Serie A,6,0,1,9,0,0,21,39,16.2
Player_212,35,MID,20,1715,Serie A,19,2,8,8,0,0,73,36,17.4
Player_213,28,DEF,32,2509,Serie A,20,2,0,0,0,18,71,47,14.6
Player_214,28,MID,7,3107,La Liga,6,4,1,0,0,0,30,69,12.6
Player_215,34,DEF,7,1937,Serie A,6,3,0,4,0,3,102,84,14.5
Player_216,23,DEF,20,3336,Bundesliga,4,4,4,0,0,15,104,55,19.3
Player_217,25,MID,25,1628,Bundesliga,1,5,5,6,0,0,14,58,18.4
Player_218,18,MID,35,1243,Ligue 1,19,5,3,10,0,0,15,58,15.2
Player_219,27,FWD,,1406,Bundesliga,11,5,6,1,0,0,10,24,15
Player_220,20,MID,13,1809,Bundesliga,7,1,8,,0,0,52,,19.8
Player_221,21,MID,4,2040,La Liga,2,4,0,4,0,0,35,54,14.4
Player_222,28,GK,12,2490,Bundesliga,4,4,0,0,48,0,0,0,14.8
Player_223,32,DEF,17,313,Premier League,6,0,5,5,0,4,,79,18.2
Player_224,18,DEF,1,2116,Bundesliga,5,0,3,3,0,0,32,73,15.2
Player_225,26,DEF,17,1637,Ligue 1,9,0,5,0,0,1,110,44,14.7
Player_226,28,FWD,2,3091,Ligue 1,11,3,25,4,0,0,29,2,27.6
Player_227,30,DEF,6,2505,Serie A,18,5,3,5,0,6,36,21,15.2
Player_228,33,FWD,11,1779,La Liga,20,0,15,5,0,0,17,12,20.2
Player_229,21,MID,18,1613,Ligue 1,17,1,0,2,0,0,63,,10.6
Player_230,18,FWD,25,1203,Premier League,13,2,13,7,0,0,5,14,21.2
Player_231,30,MID,,2793,Premier League,17,1,9,,0,0,12,45,20
Player_232,18,MID,16,2062,Serie A,10,3,2,14,0,0,20,30,18
Player_233,22,MID,12,1185,La Liga,18,0,10,9,0,0,34,63,19.2
Player_234,22,DEF,29,522,La Liga,17,4,2,,0,5,103,57,13.3
Player_235,31,MID,23,1461,Bundesliga,12,2,5,3,0,0,21,25,15
Player_236,31,DEF,21,1376,Premier League,15,,3,1,0,6,49,72,14.2
Player_237,25,GK,16,1384,Premier League,19,3,0,0,32,3,0,0,11.9
Player_238,21,MID,26,598,Premier League,15,1,2,,0,0,74,26,14.2
Player_239,24,DEF,37,597,Premier League,13,0,4,4,0,23,57,54,21.5
Player_240,32,FWD,22,706,Ligue 1,7,3,33,4,0,0,0,0,33.2
Player_241,21,FWD,10,509,La Liga,11,3,29,14,0,0,8,24,34
Player_242,26,FWD,7,1185,Bundesliga,8,4,28,11,0,0,19,,32.8
Player_243,30,DEF,9,163,Ligue 1,20,5,2,2,0,5,30,15,12.7
Player_244,31,GK,25,1768,La Liga,16,,0,0,100,16,0,,19.8
Player_245,31,FWD,15,2711,Serie A,11,4,9,1,0,0,15,,16.8
Player_246,27,DEF,13,235,Premier League,5,5,4,4,0,6,46,54,18
Player_247,33,FWD,26,2183,Bundesliga,7,1,7,12,0,0,28,15,20.8
Player_248,22,FWD,21,1854,La Liga,16,4,,6,0,0,29,14,28
Player_249,23,FWD,23,3266,Serie A,16,5,12,4,0,0,28,5,18.8
Player_250,19,DEF,28,1222,Premier League,20,3,5,4,0,8,57,41,16.2
Player_251,30,DEF,12,210,Serie A,17,3,5,5,0,7,47,77,16.9
Player_252,30,FWD,24,1156,Serie A,19,5,,12,0,0,4,21,20.2
Player_253,35,DEF,13,2053,Ligue 1,15,3,0,0,0,7,45,12,12.3
Player_254,18,DEF,2,2236,Serie A,15,2,4,1,0,2,52,11,13.6
Player_255,25,MID,12,795,Ligue 1,20,2,6,11,0,0,13,27,17.2
Player_256,33,FWD,14,2448,Ligue 1,15,5,11,10,0,0,18,14,20.8
Player_257,19,MID,30,1327,Serie A,3,5,8,13,0,0,61,43,22.6
Player_258,25,MID,19,2560,La Liga,12,1,,14,0,0,74,30,23
Player_259,23,GK,31,3273,Serie A,6,5,0,0,124,27,0,0,26.3
Player_260,33,MID,25,2024,Serie A,20,4,9,2,0,0,79,21,15.4
Player_261,28,FWD,4,1972,La Liga,5,3,16,1,0,0,21,19,22.2
Player_262,34,DEF,13,2409,Premier League,11,,2,0,0,0,51,29,12.2
Player_263,28,MID,36,2962,Bundesliga,12,5,1,14,0,0,43,40,17
Player_264,25,FWD,37,1215,Premier League,7,3,34,11,0,0,16,17,36.6
Player_265,21,MID,3,299,Serie A,9,2,3,4,0,0,25,19,14.8
Player_266,28,MID,16,828,Premier League,18,3,2,11,0,0,23,50,15.2
Player_267,25,MID,26,2930,Bundesliga,14,1,5,2,0,0,70,64,14.2
Player_268,26,DEF,19,1135,Premier League,4,0,4,0,0,16,73,48,19.6
Player_269,19,DEF,15,2897,Bundesliga,8,3,1,3,0,9,44,21,16.1
Player_270,33,FWD,,248,Premier League,16,5,32,5,0,0,22,16,31.2
Player_271,23,FWD,21,830,Ligue 1,4,1,33,10,0,0,7,13,36.2
Player_272,25,FWD,1,2043,Serie A,19,2,,6,0,0,18,21,28
Player_273,31,FWD,6,2480,Bundesliga,6,2,11,7,0,0,17,24,21.4
Player_274,33,MID,27,1513,Serie A,19,0,4,14,0,0,62,67,17.4
Player_275,29,MID,23,788,Ligue 1,15,5,11,13,0,0,67,13,22
Player_276,22,FWD,31,3304,Premier League,12,4,13,2,0,0,11,17,19.4
Player_277,35,MID,12,1963,Serie A,12,,2,14,0,0,72,24,17.6
Player_278,26,MID,,2534,Premier League,2,3,8,11,0,0,22,62,22
Player_279,19,FWD,2,2673,Premier League,9,2,13,10,0,0,15,16,23.2
Player_280,29,FWD,5,230,Serie A,3,1,5,3,0,0,13,0,16.8
Player_281,19,DEF,9,3098,Bundesliga,1,0,5,0,0,1,43,70,16.3
Player_282,27,DEF,20,329,Bundesliga,14,4,2,1,0,14,59,45,16.2
Player_283,18,GK,18,381,Serie A,13,3,0,0,72,5,0,0,15.7
Player_284,21,MID,22,2954,Bundesliga,5,3,11,14,0,0,54,68,24.4
Player_285,29,GK,8,171,La Liga,7,2,0,0,32,8,0,0,15.8
Player_286,26,MID,34,2697,Premier League,14,1,7,5,0,0,64,64,16.6
Player_287,21,MID,9,3007,Serie A,16,1,2,11,0,0,42,,15.6
Player_288,26,DEF,7,2308,Ligue 1,18,4,3,2,0,5,46,18,13.7
Player_289,23,MID,30,1887,Serie A,14,3,9,0,0,0,71,50,15.8
Player_290,18,GK,,1066,Serie A,1,2,0,0,36,3,,0,15.7
Player_291,27,GK,27,669,Premier League,6,1,0,0,135,6,0,0,20.55
Player_292,31,FWD,16,2663,Ligue 1,10,3,7,11,0,0,3,13,19.8
Player_293,35,DEF,21,2679,Premier League,6,1,0,5,0,21,65,53,20.3
Player_294,23,DEF,5,2247,Bundesliga,2,0,3,0,0,0,105,84,14.6
Player_295,35,MID,29,3373,Serie A,7,1,4,6,0,0,,37,16.6
Player_296,33,MID,37,1889,Premier League,17,1,4,14,0,0,22,67,17.8
Player_297,32,DEF,22,1551,La Liga,14,3,4,1,0,17,103,62,18.3
Player_298,33,MID,14,411,Serie A,7,1,4,14,0,0,22,16,19.8
Player_299,25,GK,19,3037,Bundesliga,9,1,0,0,38,0,0,0,13.3
Player_300,30,GK,35,803,Premier League,19,0,0,0,70,9,0,0,15.6
Player_301,28,MID,24,2221,Premier League,11,1,7,10,0,0,25,20,19.2
Player_302,24,MID,6,3093,La Liga,3,1,2,13,0,0,63,38,19
Player_303,34,MID,3,2513,Bundesliga,4,,2,5,0,0,39,43,15.6
Player_304,35,MID,,3214,La Liga,5,2,,11,0,0,48,61,20.8
Player_305,30,FWD,2,1980,Serie A,4,0,9,5,0,0,7,,19.8
Player_306,32,MID,15,1369,Ligue 1,13,1,8,5,0,0,73,67,17.4
Player_307,18,DEF,37,2723,Premier League,9,2,3,0,0,20,116,39,19.2
Player_308,33,FWD,15,3381,La Liga,14,3,15,2,0,0,26,0,20.2
Player_309,22,DEF,32,1768,Premier League,16,0,2,5,0,18,88,75,18.6
Player_310,20,DEF,21,2237,Premier League,6,5,1,4,0,1,112,47,14.5
Player_311,27,GK,17,2266,La Liga,10,3,0,0,102,12,0,0,19.9
Player_312,22,GK,34,1007,Premier League,13,2,0,0,204,31,0,0,30.1
Player_313,24,FWD,32,2356,Bundesliga,3,0,8,10,0,0,23,24,21.4
Player_314,31,FWD,23,2614,Bundesliga,11,1,16,5,0,0,29,24,22.6
Player_315,20,MID,35,1896,Ligue 1,3,2,4,2,0,0,79,61,15.8
Player_316,30,DEF,37,2159,Bundesliga,7,3,3,5,0,29,88,47,24.3
Player_317,30,DEF,37,649,La Liga,10,0,4,0,0,24,58,,20.8
Player_318,27,DEF,33,718,Bundesliga,1,2,3,3,0,25,100,80,23.5
Player_319,19,DEF,25,3156,Ligue 1,4,5,3,4,0,6,48,64,17.6
Player_320,23,MID,37,1442,Serie A,8,2,14,0,0,0,21,39,20
Player_321,25,MID,21,2001,Serie A,20,3,9,10,0,0,11,36,18.6
Player_322,21,MID,34,1898,La Liga,17,3,7,14,0,0,,34,19.6
Player_323,29,DEF,19,2476,Ligue 1,5,1,2,1,0,16,94,85,18.6
Player_324,32,FWD,27,1985,Bundesliga,17,1,5,8,0,0,11,,16
Player_325,25,MID,9,2316,Ligue 1,9,2,13,0,0,0,24,65,19.2
Player_326,24,MID,5,2558,Premier League,8,3,4,6,0,0,61,57,16.4
Player_327,31,MID,5,1096,Ligue 1,7,2,,3,0,0,44,47,19.6
Player_328,31,DEF,25,138,Bundesliga,5,,4,,0,14,105,32,20.8
Player_329,30,DEF,26,1940,La Liga,4,5,4,0,0,15,50,79,19.3
Player_330,18,DEF,19,2019,Premier League,3,3,,4,0,16,84,23,19.6
Player_331,18,MID,30,2904,Ligue 1,8,4,3,13,0,0,47,49,18.6
Player_332,21,GK,36,2167,Serie A,5,4,0,0,108,13,0,0,21.5
Player_333,27,GK,16,2222,Bundesliga,5,3,0,0,64,0,0,0,15.4
Player_334,20,GK,7,2926,La Liga,17,1,0,0,28,5,0,0,12.7
Player_335,26,GK,18,1615,Bundesliga,15,2,0,0,108,8,0,0,18
Player_336,20,FWD,21,1659,Ligue 1,8,0,5,11,0,0,10,,19
Player_337,23,MID,31,418,La Liga,7,0,1,5,0,0,51,32,14.4
Player_338,23,MID,1,2747,Serie A,17,5,,3,0,0,16,65,17
Player_339,29,GK,3,523,Premier League,12,3,0,0,15,1,0,0,11.85
Player_340,18,MID,31,677,Ligue 1,4,1,13,7,0,0,65,38,23
Player_341,33,MID,,1800,La Liga,20,,14,11,0,0,,64,22
